iter	Passed	Remaining
0	0	61
1	1	55
2	1	52
3	1	47
4	2	47
5	2	46
6	3	45
7	3	45
8	4	44
9	4	44
10	5	44
11	5	43
12	6	42
13	6	42
14	7	41
15	8	42
16	8	41
17	9	41
18	9	41
19	10	40
20	10	40
21	11	39
22	11	39
23	12	38
24	12	38
25	13	37
26	13	37
27	14	36
28	14	36
29	15	35
30	15	34
31	16	34
32	16	33
33	17	33
34	17	32
35	18	32
36	18	31
37	19	31
38	19	30
39	20	30
40	20	29
41	20	28
42	21	27
43	21	27
44	22	26
45	22	26
46	22	25
47	23	25
48	23	24
49	24	24
50	24	23
51	25	23
52	25	22
53	26	22
54	26	21
55	26	21
56	27	20
57	27	20
58	28	19
59	28	19
60	29	18
61	29	18
62	30	17
63	30	17
64	31	16
65	31	16
66	32	15
67	32	15
68	33	14
69	33	14
70	34	13
71	34	13
72	35	12
73	35	12
74	35	11
75	36	11
76	36	11
77	37	10
78	37	10
79	38	9
80	38	9
81	39	8
82	39	8
83	40	7
84	40	7
85	41	6
86	41	6
87	42	5
88	42	5
89	43	4
90	43	4
91	43	3
92	44	3
93	44	2
94	45	2
95	45	1
96	46	1
97	46	0
98	47	0
99	47	0
