iter	Passed	Remaining
0	52	52791
1	53	26881
2	55	18382
3	56	14187
4	58	11597
5	59	9839
6	60	8593
7	63	7843
8	64	7080
9	65	6477
10	66	5976
11	67	5567
12	68	5216
13	69	4910
14	70	4651
15	71	4413
16	72	4203
17	73	4016
18	74	3860
19	76	3730
20	77	3609
21	78	3499
22	79	3384
23	80	3278
24	81	3179
25	82	3090
26	83	3021
27	84	2947
28	85	2874
29	86	2807
30	87	2747
31	89	2698
32	90	2655
33	91	2611
34	93	2565
35	94	2525
36	95	2490
37	97	2457
38	98	2426
39	99	2395
40	101	2382
41	103	2358
42	105	2344
43	106	2315
44	107	2291
45	109	2265
46	110	2240
47	112	2221
48	113	2202
49	115	2199
50	117	2194
51	119	2179
52	120	2157
53	121	2133
54	122	2110
55	123	2086
56	124	2064
57	126	2047
58	127	2028
59	128	2011
60	129	2000
61	131	1994
62	133	1986
63	134	1973
64	136	1957
65	137	1943
66	138	1927
67	139	1912
68	140	1902
69	142	1889
70	143	1883
71	145	1875
72	146	1863
73	148	1853
74	149	1841
75	150	1827
76	151	1816
77	152	1802
78	155	1816
79	157	1816
80	159	1809
81	161	1808
82	162	1792
83	163	1785
84	165	1776
85	167	1775
86	168	1769
87	170	1768
88	173	1771
89	176	1782
90	177	1775
91	179	1767
92	180	1758
93	181	1749
94	182	1741
95	184	1738
96	186	1735
97	188	1731
98	189	1725
99	191	1721
100	192	1715
101	195	1717
102	196	1714
103	198	1711
104	199	1703
105	201	1699
106	203	1694
107	204	1686
108	205	1679
109	207	1682
110	209	1677
111	211	1675
112	212	1669
113	214	1663
114	215	1657
115	216	1651
116	217	1642
117	218	1636
118	220	1632
119	222	1628
120	223	1623
121	224	1614
122	226	1611
123	227	1607
124	228	1601
125	230	1596
126	231	1592
127	233	1587
128	235	1587
129	236	1585
130	238	1580
131	240	1578
132	241	1573
133	242	1569
134	244	1564
135	247	1570
136	249	1573
137	251	1572
138	253	1570
139	256	1572
140	257	1569
141	258	1560
142	261	1567
143	264	1574
144	266	1574
145	268	1568
146	269	1566
147	273	1571
148	275	1573
149	277	1570
150	278	1567
151	280	1563
152	281	1560
153	283	1557
154	285	1553
155	286	1551
156	288	1550
157	290	1548
158	292	1544
159	293	1541
160	294	1535
161	296	1533
162	298	1530
163	299	1525
164	300	1521
165	301	1517
166	303	1512
167	304	1506
168	305	1500
169	306	1495
170	307	1490
171	308	1484
172	309	1477
173	309	1471
174	310	1465
175	311	1460
176	313	1457
177	315	1457
178	318	1459
179	319	1454
180	320	1450
181	321	1444
182	322	1439
183	323	1435
184	324	1431
185	326	1429
186	327	1425
187	329	1422
188	330	1419
189	332	1415
190	333	1411
191	334	1409
192	337	1410
193	340	1416
194	342	1412
195	344	1412
196	345	1410
197	347	1407
198	348	1402
199	349	1396
200	350	1391
201	351	1387
202	352	1385
203	354	1382
204	355	1379
205	357	1376
206	358	1373
207	360	1372
208	361	1368
209	362	1364
210	363	1360
211	365	1359
212	367	1358
213	369	1356
214	370	1353
215	372	1351
216	373	1347
217	374	1343
218	375	1339
219	376	1335
220	378	1333
221	380	1332
222	381	1330
223	383	1327
224	384	1324
225	385	1321
226	386	1317
227	388	1314
228	389	1310
229	390	1307
230	391	1304
231	393	1302
232	394	1299
233	396	1297
234	398	1296
235	399	1293
236	400	1289
237	402	1288
238	405	1291
239	407	1289
240	408	1287
241	411	1287
242	413	1287
243	414	1285
244	416	1283
245	418	1281
246	419	1279
247	421	1279
248	423	1276
249	424	1273
250	425	1270
251	426	1267
252	428	1266
253	431	1266
254	433	1265
255	434	1263
256	436	1261
257	437	1258
258	438	1255
259	440	1252
260	441	1249
261	442	1247
262	445	1248
263	447	1247
264	449	1246
265	450	1243
266	452	1241
267	453	1238
268	454	1236
269	456	1234
270	458	1233
271	459	1231
272	463	1234
273	466	1235
274	468	1234
275	470	1233
276	472	1234
277	474	1232
278	476	1231
279	483	1242
280	485	1241
281	486	1239
282	488	1237
283	489	1235
284	491	1233
285	493	1230
286	494	1228
287	497	1230
288	499	1228
289	501	1228
290	503	1226
291	505	1226
292	507	1225
293	511	1227
294	516	1234
295	519	1235
296	520	1233
297	522	1231
298	525	1230
299	526	1228
300	528	1226
301	530	1225
302	532	1224
303	533	1221
304	535	1219
305	536	1217
306	538	1215
307	540	1213
308	541	1211
309	544	1210
310	545	1208
311	547	1206
312	548	1204
313	550	1202
314	553	1202
315	554	1200
316	561	1208
317	562	1206
318	564	1204
319	566	1204
320	568	1201
321	569	1199
322	571	1197
323	572	1194
324	574	1192
325	575	1190
326	577	1189
327	579	1188
328	582	1187
329	583	1184
330	584	1181
331	587	1182
332	590	1181
333	593	1184
334	595	1182
335	596	1179
336	598	1177
337	600	1175
338	601	1173
339	603	1170
340	605	1169
341	607	1169
342	609	1168
343	611	1166
344	613	1164
345	616	1164
346	617	1162
347	618	1159
348	621	1158
349	623	1158
350	625	1155
351	626	1153
352	627	1150
353	629	1149
